repo_name,no_of_contributions
diversity-coc-review.io,28
django-badge-studio,1
django-badgekit,291
django-badger,304
django-browserid,159
django-cas-consumer,5
django-csp,164
django-dnt,22
django-jobvite,33
django-memcached-pool,44
django-moz-header,27
django-piston,244
django-post-request-task,48
django-product-details,71
django-recaptcha,12
django-salmon,40
django-session-csrf,31
django-tidings,174
django_appcache,11
djangode,9
docere,52
docker-gcloud-sdk-emulators,1
docker-node-doctoc,1
docker-python-black,1
docker-sbt,14
docker-test-mozilla-django-oidc,59
dockutil,69
doctorjs,202
dogear,193
domesday,43
domtemplate,86
donate.mozilla.org,4138
doorman,251
doozer,72
doozer-lib,2
dragnet,124
dryice,112
dscontrib,357
dummytracker,19
dxr,2311
dye-score,50
dynamicua_update_script,55
eideticker,821
eideticker-ci,90
elasticsearch-VR,32
elasticutils,465
elmo,1169
elmo-templates,78
email-tabs,275
embedly-proxy,183
ember-cli-fxos,66
emr-bootstrap-hbase,2
emr-bootstrap-presto,29
emr-bootstrap-spark,277
energia,151
ensemble,807
ensemble-transposer,484
eoy-charts,30
eoy-fundraising,164
eslint-config-amo,452
eslint-config-normandy,2
eslint-config-protocol,15
eslint-plugin-amo,97
eslint-plugin-fxa,35
eslint-plugin-no-unsanitized,132
esper-pioneer-shield-study,153
etherpad-lite,2417
etp-search-volume-study,18
events-issues,5
events.webmaker.org,530
example-addon-repo,109
example-search-addon,3
execCIProject,32
experimental-split-server,4
experimenter,2013
experiments-viewer,905
extension-finder,9
extension-workshop,849
extensions-challenge,65
eyedee.me,80
f1,1269
fathom,1467
fathom-fox,314
fathom-trainees,32
fathom-webextension,62
featured-addons-compatibility-test,8
federated-learning-v2-study-addon,555
feedthefox,254
fennec-distribution-sample,10
fennec-search,217
ff-tool,178
ffi-toolkit,5
fhr-jelly,470
fhr-r-rollups,164
fhr-v2-v4-executive,15
fifi,66
fifiback,65
file2crashes,18
filer-mysql,1
filer-redis,1
firefox-addons-website,2
firefox-app-validator-manifest,35
firefox-browser-architecture,186
firefox-code-coverage,150
firefox-code-coverage-frontend,220
firefox-code-quality,24
