,username,repo_name,no_of_contributions
11616,Arcanemagus,eslint-plugin-no-unsanitized,1
10998,Archaeopteryx,ActiveData,1
6977,Archaeopteryx,MozStumbler,1
17211,Archaeopteryx,activity-stream-l10n,5
9532,Archaeopteryx,advocacy.mozilla.org,3
1258,Archaeopteryx,amo-validator,1
10707,Archaeopteryx,bugherder,31
17329,Archaeopteryx,copyright,1
11891,Archaeopteryx,donate.mozilla.org,4
1431,Archaeopteryx,elmo,1
7568,Archaeopteryx,gecko-dev,5469
7974,Archaeopteryx,legal-docs,7
12879,Archaeopteryx,loop,3
8766,Archaeopteryx,loop-client,1
10561,Archaeopteryx,loop-client-l10n,2
12955,Archaeopteryx,loop-test,3
10347,Archaeopteryx,moz-corsica,2
12355,Archaeopteryx,petitions.mozilla.org,1
19126,Archaeopteryx,policy-templates,2
14690,Archaeopteryx,positron,1425
11044,Archaeopteryx,readability,1
9603,Archaeopteryx,release-blog,5
13417,Archaeopteryx,releasehealth,1
4394,Archaeopteryx,releases-comm-central,278
3640,Archaeopteryx,relman-auto-nag,1
16389,Archaeopteryx,spiderweb,1305
6129,Archaeopteryx,treeherder,47
12598,Archaeopteryx,version-control-tools,2
15188,ArekSredzki,positron-electron,3
16850,Arthaey,multi-account-containers,1
20077,Arthraim,jsxgettext,1
17228,Artist-sumo,activity-stream-l10n,3
8399,Artist-sumo,addons-server,67
9552,Artist-sumo,advocacy.mozilla.org,1
18669,Artist-sumo,blurts-server,6
17332,Artist-sumo,copyright,1
11893,Artist-sumo,donate.mozilla.org,4
17810,Artist-sumo,notes,2
11992,Artist-sumo,payments-l10n,1
10042,Artist-sumo,pontoon-intro,7
6468,Artist-sumo,thimble.mozilla.org,3
9282,Artyom17,angle,2
18450,Artyom17,hubs,1
6511,Ashernor,ichnaea,1
175,AshfaqHossain,kitsune,1
5593,AshishNamdev,oneanddone,2
3235,Ashwin02,areweslimyet,1
11780,Ashwin02,fxa,1
7829,Ashwin02,fxa-js-client,1
666,Atilla,django-piston,1
6979,Atte,MozStumbler,1
17365,Atul9,grcov,1
1852,AutomatedTester,Addon-Tests,4
1297,AutomatedTester,FlightDeck-selenium,1
1254,AutomatedTester,amo-validator,1
10270,AutomatedTester,geckodriver,22
993,AutomatedTester,input-tests,2
2147,AutomatedTester,mdn-tests,1
3226,AutomatedTester,memchaser,2
1346,AutomatedTester,moz-grid-config,1
5799,AutomatedTester,mozwebqa-bot,4
974,AutomatedTester,mozwebqa-test-templates,2
2167,AutomatedTester,qmo-tests,2
2533,AutomatedTester,wiki-tests,2
18866,AutomatedTester,wpt-sync,6
17586,AvianFlu,http-server,29
3917,AxelNennker,id-specs,1
20165,AyahRamahi,extension-workshop,1
17816,AymenAlSalem,notes,1
13267,AymericFaivre,OpenDesign,1
20509,AyoAlfonso,neqo,1
4104,Ayrx,mozdownload,1
14165,BBabaAli,kaldi,28
19242,BBloggsbott,bugbug,1
5375,BYK,build-talos,5
20061,BYK,jsxgettext,116
2941,BYK,mozmill-environment,4
865,BYK,task.js,1
3107,Babibubebon,parapara,3
5706,BadriL,hawk,1
4282,Bas-moz,integration-mozilla-inbound,478
2728,Bas-moz,mozilla-history,319
12294,Bas-moz,newtab-dev,868
3487,Bas-moz,pjs,469
14730,Bas-moz,positron,896
16422,Bas-moz,spiderweb,894
11442,Bas-moz,universal-search-gecko-dev,765
13016,BastienDurel,chat.mozillafoundation.org,5
490,BavarianTomcat,addon-sdk,12
5309,BavarianTomcat,build-mozharness,1
5434,BavarianTomcat,build-partner-repacks,38
7563,BavarianTomcat,gecko-dev,7263
16619,BavarianTomcat,haiku-gaia-experiments,369
12866,BavarianTomcat,loop,13
8749,BavarianTomcat,loop-client,4
12945,BavarianTomcat,loop-test,13
12232,BavarianTomcat,newtab-dev,4736
14657,BavarianTomcat,positron,6164
16349,BavarianTomcat,spiderweb,6008
20545,BavarianTomcat,tantalus,1
11388,BavarianTomcat,universal-search-gecko-dev,2951
19354,Be-Rahul,contain-facebook,1
1672,BeatWolf,pdf.js,3
6703,Bebersohl,fxa-auth-server,1
11159,BekkaKahn,reps-edu,16
20451,BenWu,bigquery-etl,63
17097,BenWu,data-docs,5
