,username,repo_name,no_of_contributions
17538,greenkeeper[bot],experiments-viewer,6
14424,greenkeeper[bot],firefox-hardware-report,4
18311,greenkeeper[bot],firefox-test-tube,3
16717,greenkeeper[bot],one-off-system-add-ons,60
17825,greenkeeper[bot],potools,22
17266,greenkeeper[bot],qbrt,25
10913,greenkeeper[bot],srihash.org,5
13713,greenkeeper[bot],telemetry-analysis-service,30
13524,greenkeeper[bot],web-ext,189
13457,greenkeeperio-bot,activity-stream,85
16064,greenkeeperio-bot,addons-contribution-notifier,4
13777,greenkeeperio-bot,addons-frontend,441
12421,greenkeeperio-bot,addons-linter,383
13079,greenkeeperio-bot,dispensary,165
11806,greenkeeperio-bot,donate.mozilla.org,110
11610,greenkeeperio-bot,eslint-plugin-no-unsanitized,2
15936,greenkeeperio-bot,example-addon-repo,22
12674,greenkeeperio-bot,fxa-checkbox,15
8199,greenkeeperio-bot,grunt-i18n-abide,6
12854,greenkeeperio-bot,loop,121
15101,greenkeeperio-bot,morgothv1,11
13225,greenkeeperio-bot,normandy,11
11628,greenkeeperio-bot,payments-client,50
11531,greenkeeperio-bot,payments-ui,150
12356,greenkeeperio-bot,petitions.mozilla.org,1
12686,greenkeeperio-bot,platform-status,16
14452,greenkeeperio-bot,sign-addon,154
10911,greenkeeperio-bot,srihash.org,17
14535,greenkeeperio-bot,tofino,288
13522,greenkeeperio-bot,web-ext,277
11944,greenkeeperio-bot,webmaker-core,4
14865,gregarndt,sccache,1
8668,gregarndt,treeherder-node-deprecated,3
20339,gregglind,CookieRestrictionsBreakageStudy,30
19975,gregglind,CookieRestrictionsShield,30
19853,gregglind,FastBlockShield,30
499,gregglind,addon-sdk,8
18701,gregglind,addon-wr,49
5873,gregglind,blushproof,8
6007,gregglind,cookiemonster,1
20014,gregglind,create-shield-study,3
18528,gregglind,esper-pioneer-shield-study,13
20404,gregglind,federated-learning-v2-study-addon,33
4721,gregglind,fjord,1
20370,gregglind,fxa-discoverability-shield-study,31
15588,gregglind,heatmap,4
8046,gregglind,hotdish,53
19097,gregglind,jestr-pioneer-shield-study,30
19091,gregglind,mozjexl,1
13239,gregglind,normandy,1
16094,gregglind,observatory-cli,28
10687,gregglind,self-repair-server,286
18269,gregglind,shield-onboarding,30
15906,gregglind,shield-studies-addon-template,31
15020,gregglind,shield-studies-addon-utils,175
16071,gregglind,shield-study-cli,20
19667,gregglind,taar-experiment-v2-shield-study,19
18573,gregglind,taar-experiment-v3-shield-study,30
6776,gregglind,telemetry-server,1
3777,gregglind,testpilot2,122
14962,gregnolle,tofino-electron,6
15307,gregnr,DeepSpeech,1
16647,gregorwagner,haiku-gaia-experiments,199
15420,gregorwagner,vaani.client,1
8703,gregose,mozillawebmakerproxy.net,4
17255,gregtatum,devroadshow2017,1
6183,gregtatum,treeherder,4
8833,grenade,build-relengapi,2
5496,grenade,build-tools,2
13664,grenade,release-services,2
13185,greums,PyPOM,1
2536,grhoward,wiki-tests,1
19371,grigorescu,bro,211
19502,grigoryk,application-services,13
18195,grigoryk,firefox-browser-architecture,1
15563,grigoryk,mentat,63
18778,grigoryk,toodle,18
1383,grimreaper,persona,2
20143,grlwholifts,extension-workshop,20
5718,grncdr,hawk,1
20588,groob,fleet,154
20622,groob,launcher,83
20338,groovecoder,CookieRestrictionsBreakageStudy,31
19974,groovecoder,CookieRestrictionsShield,31
19856,groovecoder,FastBlockShield,2
547,groovecoder,addon-sdk,2
12504,groovecoder,addons-linter,2
10770,groovecoder,ateam-bootcamp,7
6093,groovecoder,badges.mozilla.org,1
1556,groovecoder,bedrock,3
15362,groovecoder,blok,204
19586,groovecoder,blurts-addon,5
18593,groovecoder,blurts-server,1020
19268,groovecoder,contain-facebook,172
19578,groovecoder,crlite,7
17256,groovecoder,devroadshow2017,1
13092,groovecoder,dispensary,1
2579,groovecoder,django-browserid,1
1976,groovecoder,elasticutils,1
16250,groovecoder,firefox-test-engineering,7
11776,groovecoder,fxa,2
6699,groovecoder,fxa-auth-server,2
10818,groovecoder,github-org-scripts,6
12668,groovecoder,html-presentation-templates,1
3059,groovecoder,itisatrap,2
1111,groovecoder,kuma-lib,48
10813,groovecoder,mdn-devtool,1
2153,groovecoder,mdn-tests,1
5622,groovecoder,mortar-list-detail,1
5749,groovecoder,mortar-tab-view,1
5004,groovecoder,mozhacks-2013,20
4760,groovecoder,mozilla-presentation-templates,1
16832,groovecoder,multi-account-containers,306
5825,groovecoder,mwc,3
12131,groovecoder,node-basket,1
8845,groovecoder,onyx,1
19776,groovecoder,opensourcery,1
16098,groovecoder,privacy-prefs,6
17422,groovecoder,python_mozetl,10
3607,groovecoder,scrumbugz,10
15889,groovecoder,security-advisor-shield-study,2
15024,groovecoder,shield-studies-addon-utils,3
16550,groovecoder,shield-study-privacy,85
9860,groovecoder,splice,1
4685,groovecoder,standup,1
15704,groovecoder,testpilot-meta,1
17978,groovecoder,tracking-test,5
13593,groovecoder,universal-search,1
1740,groovecoder,webdev-bootcamp,7
6011,groovecoder,webdev-contributors,4
7084,groovecoder,webdev-manager-resources,1
13294,groovecoder,wp-web-push,1
8990,grosser,ambient-boxen,1
16160,groveriffic,redash,6
14393,grschafer,ansible-playbook-rabbitmq,3
871,grssam,prospector,13
14210,grtkachenko,kaldi,1
7694,gruehle,brackets,1003
4184,gsabev,labs-vcap-services,1
9912,gsathya,galaxy-api-python-client,1
4659,gserra-olx,agithub,1
16185,gseva,redash,4
11729,gsiriya,fxa,14
297,gsnedders,bleach,1
14242,gsommavilla,marytts,5
16616,gtorodelvalle,haiku-gaia-experiments,380
10026,gueroJeff,pontoon-intro,9
4864,guilhermenagatomo,nunjucks,1
14397,guillaumededrie,ansible-playbook-rabbitmq,1
7792,gummesson,nunjucks-docs,4
15961,gunan,tensorflow,908
17213,gunchleoc,activity-stream-l10n,4
6833,gunchleoc,commbadge,1
10577,gunchleoc,loop-client-l10n,1
9387,gunesacar,OpenWPM,32
14227,gunthercox,kaldi-gstreamer-server,1
14183,guoguo12,kaldi,7
16032,guptapriya,tensorflow,95
14328,gurdiga,wp-calypso,8
3998,gurjeet,123done,1
3865,gurjeet,awsbox,1
15648,gurkangullu,activate.mozilla.community,5
18651,gurkangullu,blurts-server,11
19364,gurkangullu,contain-facebook,1
3391,gurpreetatwal,node-convict,5
13742,gurumukhi,community-data,137
5970,gurumukhi,fireplace,6
10169,gustavoz,openvpn,1
5064,guybrush,etherpad-lite,2
1996,gvenkat,dxr,8
1961,gvigneron,elasticutils,4
13460,gvn,activity-stream,69
9522,gvn,advocacy.mozilla.org,5
8055,gvn,csp-logger,13
10611,gvn,eoy-charts,20
8164,gvn,events.webmaker.org,288
16886,gvn,foundation.mozilla.org,363
11087,gvn,learning.mozilla.org,20
9871,gvn,locompleter,3
6875,gvn,make-valet,2
8232,gvn,makerstrap,9
13612,gvn,mofo-bootstrap,76
11381,gvn,mofo-phantom,11
15441,gvn,mofo-ui,46
14385,gvn,mozmaker-templates,63
17285,gvn,network-api,3
13374,gvn,network-pulse,5
16768,gvn,network-pulse-api,6
17023,gvn,nsf-challenge,6
16935,gvn,openiotstudio,1
13273,gvn,research-website,28
9876,gvn,science.mozilla.org,131
16315,gvn,static-seed,3
18955,gvn,web-lit-core,5
9699,gvn,webmaker-android,274
8446,gvn,webmaker-auth,3
11252,gvn,webmaker-browser,50
9103,gvn,webmaker-code-of-conduct,1
11936,gvn,webmaker-core,134
6748,gvn,webmaker-events,1
8177,gvn,webmaker-events-service,89
9440,gvn,webmaker-landing-pages,23
9917,gvn,webmaker-login-ux,19
7262,gvn,webmaker-profile,204
8865,gvn,webmaker-profile-2,164
7409,gvn,webmaker-profile-service,27
6297,gvn,webmaker.org,58
15733,gvn,womenandweb,14
15250,gvoysey,DeepSpeech,5
14267,gwwar,wp-calypso,151
14342,gyoshev,wp-calypso,4
14261,gziolo,wp-calypso,268
4587,gzoller,WebGameStub,2
12192,h0tbird,sops,1
572,h3h,redis-centos,3
5629,h4writer,arewefastyet,666
14747,h4writer,positron,731
16442,h4writer,spiderweb,717
18440,hATrayflood,hubs,4
6972,haaninjo,MozStumbler,1
11886,haard40,donate.mozilla.org,4
2439,haaspors,cubeb,15
4722,haathi,fjord,1
14043,habnefrage,openhab2-addons,2
17127,hackebrot,data-docs,1
20306,hackebrot,glean,4
20134,hackebrot,glean_parser,1
2880,hackebrot,mozillians-tests,1
19250,hackebrot,redash-ui-tests,113
4031,hackebrot,restmail.net,3
15044,hackebrot,telemetry-airflow,28
9397,hadiasghari,OpenWPM,4
10287,hadinger,firefoxmarket,82
8991,haelmy,ambient-boxen,1
12839,hafta,telemetry-batch-view,1
14184,haihua,kaldi,7
13033,haikoschol,chat.mozillafoundation.org,1
14166,hainan-xv,kaldi,28
13902,hakan42,openhab,49
14021,hakan42,openhab2-addons,7
14114,hakan42,smarthome,2
19732,hakerbaya,Spoke,1
16198,hakobera,redash,3
5305,halflings,build-mozharness,1
9355,halflings,test-informant,30
12394,hallvors,compatipede,6
14473,hallvors,compatipede-report-compare,1
13756,hallvors,data-site-toplists,2
4162,hamakn,labs-vcap,1
12428,hameleonka,addons-linter,30
15589,hamilton,datasetjs,9
11070,hamilton,plugin-crash-dashboard,12
19665,hamilton,shield-studies-dashboard,7
19747,hamletv,Bubo-Eye,31
17525,hamstergene,libdmg-hfsplus,9
15193,hankbao,positron-electron,3
3988,hannahqd,123done,5
11748,hannahqd,fxa,5
11624,hannahyoung,Civic-Hack-Day-Code-of-Conduct-2015,3
18153,hannob,aom,1
1958,hannosch,elasticutils,4
6480,hannosch,ichnaea,2777
4724,hannosch,marketplace-loadtest,36
15103,hannosch,miracle,285
5724,hannosch,monolith,39
5790,hannosch,monolith-aggregator,242
6022,hannosch,monolith-client,26
13206,hannosch,universal-search-recommendation,1
51,hannosch,zamboni,28
17200,haqer1,activity-stream-l10n,6
3307,hardfire,remo,9
6337,hardfire,talkilla,8
19514,hardik25,application-services,5
6577,hardik25,telemetry-dashboard,1
10481,hardikj,audit-go,49
10809,hardikj,audit-go-mozdef,22
10803,hardikj,libaudit-go,51
98,hardikj,zamboni,4
15921,hardlyhuman,mozilla-campus-clubs,1
13655,harikishen,release-services,2
13563,harikishen,web-ext,1
12488,haripriya1,addons-linter,3
6446,haripriya1,thimble.mozilla.org,5
5126,harlantwood,openbadger,2
9679,harlo,DropItLike,22
11271,harlo,nicar-2015-2fa-plus,5
18883,haroldwoo,Fx_Usage_Report,4
16784,haroldwoo,mozilla-reports,5
17044,haroldwoo,moztelemetry,2
17463,haroldwoo,probe-scraper,8
11636,haroldwoo,python_mozaggregator,6
18176,haroldwoo,spark-hyperloglog,3
15036,haroldwoo,telemetry-airflow,83
13727,haroldwoo,telemetry-analysis-service,1
12817,haroldwoo,telemetry-batch-view,4
16987,haroldwoo,telemetry-streaming,1
4662,harry239,agithub,1
10142,harsh1618,openvpn,16
14866,harshavardhana,sccache,1
18452,harshil1712,hubs,1
16924,harshs14,foundation.mozilla.org,1
9619,harsimrans,build-funsize,3
20479,harterrt,bigquery-etl,1
19788,harterrt,clt_vs_bootstrap,1
17079,harterrt,data-docs,59
19032,harterrt,docere,15
16788,harterrt,mozilla-reports,3
17418,harterrt,python_mozetl,50
18177,harterrt,spark-hyperloglog,1
18752,harterrt,stmocli,13
15049,harterrt,telemetry-airflow,11
13725,harterrt,telemetry-analysis-service,1
12809,harterrt,telemetry-batch-view,35
430,harthur,mozmill,129
204,harthur,mozregression,36
807,harthur,nightlytt,55
3936,harthur,qac,11
2385,harthur,source-map,2
1719,harthur,toolbox,11
9175,haseebgit,ascendproject,1
15866,hashseed,positron-spidernode,9
16547,hashseed,spiderweb-spidernode,9
19019,hathibelagal-dev,iris_firefox,4
11285,havard,node-openid,102
15967,hawkinsp,tensorflow,544
18841,hawkinsw,geckoview,1
20499,hawkinsw,neqo,19
2406,hawkrives,source-map,1
7460,hayderimran7,Fira,1
1192,hbinkle,pontoon,1
5074,hcartiaux,etherpad-lite,1
546,hchaithanya,addon-sdk,2
10983,hcs64,Snappy-Symbolication-Server,2
6742,hdanak,webmaker-events,180
6308,hdanak,webmaker.org,6
3649,hdorio,browserid-cookbook,7
4513,heatherbooker,airmozilla,1
1525,heatherbooker,bedrock,6
11766,heatherbooker,fxa,2
7216,heatherbooker,fxa-content-server,2
13122,heathmill,moz-skia,18
15406,hedning,nixpkgs-mozilla,1
7054,heff,vtt.js,8
20427,heirecka,lmdb,2
5307,heisenberg--,build-mozharness,1
5371,heisenberg--,build-talos,6
10218,heisenberg--,firefox-ui-tests,2
13680,helfi92,release-services,1
6140,helfi92,treeherder,20
3262,hellojwilde,git-bz-moz,1
3367,hellojwilde,moz-git-tools,2
15917,hellokarthic,mozilla-campus-clubs,2
12142,hellozee,sops,6
11147,heltmm,learning.mozilla.org,1
5693,hendrikcech,hawk,2
19778,henrycg,libprio,28
13115,herbderby,moz-skia,66
10170,hessu,openvpn,1
2358,heteroscedastic,affiliates,1
5606,heteroscedastic,oneanddone,1
3560,hexmode,mediawiki-bugzilla,8
10408,hexmode,wiki.mozilla.org,40
3951,hexmode,wikimo-skin,5
1685,heyLu,pdf.js,2
568,heycam,addon-sdk,1
7593,heycam,gecko-dev,2441
3363,heycam,moz-git-tools,3
12274,heycam,newtab-dev,1087
14700,heycam,positron,1252
11010,heycam,readability,3
16393,heycam,spiderweb,1229
11439,heycam,universal-search-gecko-dev,825
12610,heycam,version-control-tools,1
18869,heycam,wpt-sync,1
15123,heyunjiang,positron-electron,22
14917,heyunjiang,tofino-electron,23
4935,heyvito,node-srp,1
14841,hferreiro,sccache,2
6030,hfiguiere,b2gpopulate,1
16633,hfiguiere,haiku-gaia-experiments,290
12751,hfiguiere,mp4parse-rust,3
20423,hfuru,lmdb,394
9889,hghusarr,science.mozilla.org,2
14200,hhadian,kaldi,3
19115,hheinen,policy-templates,10
2369,hibnico,source-map,5
5112,hice3000,status.persona.org,1
17072,hidde,coss,12
2068,hidde,mozillians,4
7522,hidde,mozmoderator,4
20027,hieuhoang,kenlm,6
13537,hiikezoe,web-ext,3
5081,hikinggrass,etherpad-lite,1
2366,hildjj,source-map,8
18321,hildjj,standards-positions,9
3947,hildjj,whatthetrain,1
19395,hillu,bro,2
11769,himanish-star,fxa,2
7218,himanish-star,fxa-content-server,2
13376,himanish-star,network-pulse,4
17756,himanish-star,notes,10
1649,himanish-star,pdf.js,4
17915,himanish-star,send,6
6556,himanish-star,telemetry-dashboard,3
18737,himanshujaidka,FirefoxColor,1
1095,hinklebarbarian,webifyme,1
11039,hipstermojo,readability,1
14617,hiroppy,spidernode,25
8089,hiroshisuga,language-mapping-list,1
11031,hiyjeain,readability,1
13017,hjf288,chat.mozillafoundation.org,4
14413,hjf288,push-proxy,2
6432,hkirat,thimble.mozilla.org,8
14124,hkuhn42,smarthome,1
20267,hmeine,dockutil,6
13925,hmerk,openhab,18
14097,hmerk,smarthome,7
13003,hmhealey,chat.mozillafoundation.org,472
17608,hmil,http-server,1
13263,hmitsch,OpenDesign,2
19534,hmitsch,application-services,1
17712,hmitsch,discourse,1
18219,hmitsch,discourse-mozilla-theme,1
20089,hmitsch,discourse-mozilla-theme-beta,1
18023,hmitsch,infosec.mozilla.org,1
16799,hmitsch,innovation-toolkit,1
16829,hmitsch,leadership-toolkit,2
20058,hmitsch,m-response,1
2072,hmitsch,mozillians,3
7525,hmitsch,mozmoderator,1
17275,hmitsch,parsys,2
15709,hmitsch,participation-metrics-org,1
11929,hmitsch,wikimo_content,1
4400,hnafets,releases-comm-central,235
1874,hns,rhino,313
592,hockeybuggy,django-csp,1
13973,hoegertn,openhab,6
14066,hoegertn,openhab2-addons,1
16146,hokaccha,redash,9
15119,hokein,positron-electron,195
14904,hokein,tofino-electron,211
13979,holgero,openhab,5
5078,holtzermann17,etherpad-lite,1
2971,holtzermann17,pad,21
6824,holywen,commbadge,3
5974,holywen,fireplace,5
6895,holywen,rocketfuel,4
5167,holywen,webpay,5
9028,holywen,yogafire,5
50,holywen,zamboni,30
140,homu,kitsune,6
20342,hoosteeno,CookieRestrictionsBreakageStudy,2
19978,hoosteeno,CookieRestrictionsShield,2
19857,hoosteeno,FastBlockShield,2
19538,hoosteeno,application-services,1
7284,hoosteeno,archiver_toolkit,17
1491,hoosteeno,bedrock,33
15365,hoosteeno,blok,4
13066,hoosteeno,deepdev,1
20407,hoosteeno,federated-learning-v2-study-addon,2
7387,hoosteeno,firehug,2
4715,hoosteeno,fjord,4
20374,hoosteeno,fxa-discoverability-shield-study,2
19100,hoosteeno,jestr-pioneer-shield-study,2
7553,hoosteeno,kanbugger,20
143,hoosteeno,kitsune,6
8017,hoosteeno,legal-docs,1
19887,hoosteeno,marketing-analytics,1
2049,hoosteeno,mozillians,20
3326,hoosteeno,remo,2
7396,hoosteeno,rna,1
15909,hoosteeno,shield-studies-addon-template,2
18578,hoosteeno,taar-experiment-v3-shield-study,2
19222,horacix,bugbug,1
7459,horia,Fira,1
8139,horia,mozjpeg,1
15659,hossainalikram,activate.mozilla.community,3
15922,hossainalikram,mozilla-campus-clubs,1
5264,hotsphink,build-mozharness,82
5460,hotsphink,build-tools,43
7616,hotsphink,gecko-dev,1690
4316,hotsphink,integration-mozilla-inbound,238
12305,hotsphink,newtab-dev,778
3523,hotsphink,pjs,197
14727,hotsphink,positron,914
13696,hotsphink,release-services,1
16419,hotsphink,spiderweb,911
6203,hotsphink,treeherder,3
11462,hotsphink,universal-search-gecko-dev,620
12521,hotsphink,version-control-tools,216
18903,houqp,TTS,3
17817,howij1995,notes,1
17470,hrdktg,probe-scraper,2
11715,hritvi,fxa,32
6686,hritvi,fxa-auth-server,7
7187,hritvi,fxa-content-server,22
16848,hritvi,multi-account-containers,2
6563,hritvi,telemetry-dashboard,2
6001,hseagle2015,fireplace,2
8013,hseagle2015,legal-docs,1
5196,hseagle2015,webpay,1
9045,hseagle2015,yogafire,2
11014,hsemarap,readability,3
4161,hsiliev,labs-vcap,1
3642,hsinyi,relman-auto-nag,1
7657,hsivonen,gecko-dev,1201
4275,hsivonen,integration-mozilla-inbound,595
2715,hsivonen,mozilla-history,453
12320,hsivonen,newtab-dev,627
3481,hsivonen,pjs,590
16436,hsivonen,spiderweb,765
11460,hsivonen,universal-search-gecko-dev,627
15674,htacantya,activate.mozilla.community,2
6710,httpsOmkar,fxa-auth-server,1
16856,htwyford,multi-account-containers,1
18960,htwyford,side-view,7
18001,huahang,rappor,1
17214,hubermei,activity-stream-l10n,4
10070,hubermei,pontoon-intro,4
16610,huchengtw-moz,haiku-gaia-experiments,432
5688,hueniverse,hawk,88
2407,hughsk,source-map,1
267,hugovk,bleach,9
17528,huguesb,libdmg-hfsplus,2
9254,hujiajie,angle,5
15727,hulous,mozilla-advocacy-gantt,1
5681,humphd,MakeAPI,10
7704,humphd,brackets,279
2324,humphd,butter,237
9850,humphd,filer-redis,1
4741,humphd,html5-lint,4
3781,humphd,i18n-abide,4
11358,humphd,id.webmaker.org,2
4966,humphd,login.webmaker.org,9
8904,humphd,makedrive,128
8235,humphd,makerstrap,1
9148,humphd,nimble.webmaker.org,4
6260,humphd,node-hubble,32
7314,humphd,node-webmaker-butler,17
7302,humphd,node-webmaker-i18n,35
6625,humphd,node-webmaker-loginapi,6
376,humphd,popcorn-js,28
6635,humphd,popcorn.webmaker.org,39
11675,humphd,publish.webmaker.org,4
6373,humphd,thimble.mozilla.org,165
7051,humphd,vtt.js,28
8308,humphd,webmaker-analytics,23
9723,humphd,webmaker-android,3
6302,humphd,webmaker.org,17
259,hurda,mozregression,1
6091,huxley,badges.mozilla.org,1
9488,huxley,django-badgekit,1
2594,huxley,django-badger,1
12341,huynhphan89,SQLite.swift,1
13423,hvardhanx,ssh_scan,24
17399,hvardhanx,ssh_scan_api,2
13034,hvnsweeting,chat.mozillafoundation.org,1
18997,hwine,GitHub_Selenium,7
10763,hwine,build-mar,1
5260,hwine,build-mozharness,153
5344,hwine,build-puppet-manifests,5
8828,hwine,build-relengapi,7
7886,hwine,build-relengdocs,50
5456,hwine,build-tools,51
11603,hwine,build-vcs2aws,22
18511,hwine,frost,21
7662,hwine,gecko-projects,1
10816,hwine,github-org-scripts,102
18022,hwine,infosec.mozilla.org,1
2106,hwine,mozillians,1
13240,hwine,normandy,1
13642,hwine,release-services,5
15077,hwine,releasewarrior,4
19797,hwine,repo-templates,1
3611,hwine,scrumbugz,1
15956,hwine,triage-report,2
12529,hwine,version-control-tools,22
14850,hwinit,sccache,2
20422,hyc,lmdb,750
12329,hydhknn,Deferred,19
4863,hydiak,nunjucks,1
1894,hydra1983,rhino,2
17174,hyeonseok,activity-stream-l10n,9
13868,hyeonseok,addons-frontend,15
12466,hyeonseok,addons-linter,5
8415,hyeonseok,addons-server,37
18671,hyeonseok,blurts-server,5
6826,hyeonseok,commbadge,3
11835,hyeonseok,donate.mozilla.org,25
5967,hyeonseok,fireplace,6
8653,hyeonseok,fxa-content-server-l10n,27
10524,hyeonseok,loop-client-l10n,9
7369,hyeonseok,marketplace-stats,1
17777,hyeonseok,notes,5
17889,hyeonseok,send,11
8299,hyeonseok,spartacus,1
6415,hyeonseok,thimble.mozilla.org,14
9054,hyeonseok,yogafire,1
4170,hyperthunk,labs-vcap,1
9716,hzahoori,webmaker-android,5
14248,hzeller,marytts,1
20507,i-am-jeetu,neqo,4
2462,i-rinat,cubeb,2
299,ialbert,bleach,1
16178,ialeinikov,redash,5
14192,ialmajai,kaldi,4
7313,iamjessklein,badgeopolis,4
11081,iamjessklein,learning.mozilla.org,41
1803,iamjessklein,openbadges-backpack,8
7680,iamjessklein,openbadges-badgekit,1
11317,iamjessklein,teach-api,3
2408,iamstolis,source-map,1
14315,iamtakashi,wp-calypso,13
17515,iamtraction,global-sprint,1
16622,ian-liu,haiku-gaia-experiments,362
13495,ianb,activity-stream,1
979,ianb,appetizer-proxyhacks,10
980,ianb,appetizer-proxyhacks-sites,75
1229,ianb,apps.mozillalabs.com,5
2927,ianb,appsync,60
3017,ianb,appsync-vendor,20
1949,ianb,browsermirror,104
839,ianb,chromeless,2
2890,ianb,djangode,2
19455,ianb,email-tabs,168
19968,ianb,firefox-narrate-experiment,1
11714,ianb,fxa,32
6694,ianb,fxa-auth-server,2
2770,ianb,graphs,51
8044,ianb,hotdish,254
12868,ianb,loop,9
3958,ianb,mozapps-polyfill,8
676,ianb,openwebapps,236
4077,ianb,receiptverifier,50
15579,ianb,recommend-links-hack,16
1587,ianb,server-core,3
18957,ianb,side-view,147
4903,ianb,smokejumper,2
18710,ianb,tab-split,7
6185,ianb,treeherder,4
85,ianb,zamboni,6
3416,ianchadwick,node-convict,1
6060,iandees,CSOL-site,10
9194,ianelliottus,angle,151
4331,iangilman,integration-mozilla-inbound,180
2746,iangilman,mozilla-history,180
3527,iangilman,pjs,180
712,iangilman,tabcandy,83
4712,iankronquist,fjord,7
13877,iankronquist,ipquest,1
13241,iankronquist,normandy,1
14800,iankronquist,normandy-compose,1
9656,iankronquist,spicedham,292
891,ianks,doctorjs,1
13076,ianneub,heka-sqs,12
13162,ianroth,moz-skia,1
6660,ianseyer,popcorn.webmaker.org,1
1891,ianso,rhino,3
15847,iarna,positron-spidernode,14
14642,iarna,spidernode,16
16527,iarna,spiderweb-spidernode,14
753,iav,weave-backup,3
726,iav,weave-identity,2
136,ibai,kitsune,10
6794,ibaios,commbadge,9
9757,ibaios,discoplace,2
5931,ibaios,fireplace,30
7337,ibaios,marketplace-stats,7
6907,ibaios,rocketfuel,2
8278,ibaios,spartacus,3
5166,ibaios,webpay,5
33,ibaios,zamboni,55
7502,ibaios,zippy,1
19199,ibraheem-moosa,bugbug,3
13837,ibraheem5000,addons-frontend,30
4265,ibukanov,integration-mozilla-inbound,774
2703,ibukanov,mozilla-history,689
12306,ibukanov,newtab-dev,775
3469,ibukanov,pjs,772
14743,ibukanov,positron,775
1872,ibukanov,rhino,1106
16434,ibukanov,spiderweb,775
11441,ibukanov,universal-search-gecko-dev,775
3721,icaaq,SocialShare,6
2359,icaaq,affiliates,1
1483,icaaq,bedrock,62
3283,icaaq,firefox-flicks,1
152,icaaq,kitsune,4
2107,icaaq,mozillians,1
5811,icaaq,mwc,41
3762,icaaq,openbadges.org,7
1388,icaaq,persona,2
3345,icaaq,tabzilla,19
15336,icarius06,Jisort,5
13486,icrisan,activity-stream,2
19021,icrisan,iris_firefox,3
8971,idris,ambient-boxen,1
13909,idserda,openhab,28
14032,idserda,openhab2-addons,3
161,ierror,kitsune,2
10022,ifalli,pontoon-intro,13
16012,iganichev,tensorflow,134
19560,igomez10,common-voice-global-sprint,1
15266,igorfritzsch,DeepSpeech,3
15645,igorgoncalves,activate.mozilla.community,6
15124,igorklopov,positron-electron,21
14919,igorklopov,tofino-electron,21
5685,igoryen,MakeAPI,1
4972,igoryen,login.webmaker.org,2
6649,igoryen,popcorn.webmaker.org,2
6747,igoryen,webmaker-events,2
6309,igoryen,webmaker.org,6
1625,igstan,pdf.js,11
10595,iiison,interest-dashboard,2
2966,ikanobori,gofaster,3
12209,ikedam,sops,1
11116,ila94,learning.mozilla.org,4
10691,ilanasegall,self-repair-server,1
6772,ilanasegall,telemetry-server,3
15533,ilanasegall,testpilot_metrics,3
4209,ilayaperumalg,labs-vcap-tests,6
15974,ilblackdragon,tensorflow,374
6925,illarionov,MozStumbler,55
19690,illicitonion,lmdb-rs,1
14182,ilya-edrenkin,kaldi,9
17005,ilyabrin,webrtc-sdp,1
3071,ilyakatz,popcorn-docs,3
380,ilyakatz,popcorn-js,13
17992,ilyamironov,rappor,67
5075,ilyash,etherpad-lite,1
15930,imagerwalt,mozilla_webhook_sync,4
19216,imbstack,bugbug,1
10255,imbstack,mozilla_ci_tools,4
11650,imbstack,pulse_actions,6
17270,imbstack,qbrt,2
6144,imbstack,treeherder,17
18090,imgmips1,aom,104
216,imjalpreet,mozregression,3
2649,imjalpreet,nocturnal,1
13478,imjching,activity-stream,3
17602,impleri,http-server,1
15248,imrahul361,DeepSpeech,5
16051,imsheridan,tensorflow,78
15239,imskr,DeepSpeech,10
1522,imskr,bedrock,7
11739,imskr,fxa,7
19026,imskr,iris_firefox,1
6169,imskr,treeherder,6
12164,imsky,sops,2
4629,inadarei,WebGameStub,1
18816,incognitjoe,ctf-austin,1
10326,indexgap,moz-corsica,11
17584,indexzero,http-server,75
4776,indexzero,npm-lockdown,1
8949,indirect,ambient-boxen,7
270,indivisible,bleach,4
15771,indutny,positron-spidernode,734
14559,indutny,spidernode,746
16451,indutny,spiderweb-spidernode,734
5278,indygreg,build-mozharness,20
5469,indygreg,build-tools,16
7597,indygreg,gecko-dev,2301
4319,indygreg,integration-mozilla-inbound,233
6223,indygreg,jydoop,11
17530,indygreg,libdmg-hfsplus,1
10342,indygreg,moz-corsica,2
3372,indygreg,moz-git-tools,1
12258,indygreg,newtab-dev,1401
3533,indygreg,pjs,160
14678,indygreg,positron,1769
9556,indygreg,pymake,29
8678,indygreg,rbbz,1
4446,indygreg,releases-comm-central,24
15552,indygreg,reviewbot,26
14840,indygreg,sccache,2
16370,indygreg,spiderweb,1765
6163,indygreg,treeherder,8
11414,indygreg,universal-search-gecko-dev,1205
12517,indygreg,version-control-tools,4207
1221,inf0rmer,Twitter-Collage,96
2799,inf0rmer,Your-Web,107
3596,infindex,connect-cachify,3
1548,infinet,bedrock,3
16241,infokiller,webextension-polyfill,1
7703,ingorichter,brackets,293
8142,inian,mozjpeg,1
10161,inittab,openvpn,1
7100,injcristianrojas,cipherscan,1
11926,injust,wikimo_content,2
886,int3,doctorjs,5
3169,int3,shumway,1
2497,int3,wsoh,1
12035,intelmatt,git-repo,2
4615,inxilpro,WebGameStub,1
14782,ioana-chiorean,Reps,1
15638,ioana-chiorean,activate.mozilla.community,8
