,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ft_uname,ft_rname,ft_commit_date,author_association,merged_status,pull_title,pull_msg,pullauthordate,pullid,ft_total_changes,ft_addns,ft_delns,commitauthordate,commitid,pullcommitsha,pullcommitmsg,repodesc,repolang
6516,7604,13359,7604,jgraham,geckodriver,2016-07-01T16:23:57Z,MEMBER,True,Only deploy a single file when releasing,"<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""35"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/geckodriver/136)

<!-- Reviewable:end -->
",2016-07-01T16:25:11Z,https://api.github.com/repos/mozilla/geckodriver/pulls/136,63.0,24.0,39.0,2016-07-01T16:23:57Z,290d59f3f8b33eabcc69ff73fcd47671abb432bd,290d59f3f8b33eabcc69ff73fcd47671abb432bd,Only deploy a single file when releasing,WebDriver for Firefox,
6526,10160,15915,10160,jklukas,mozilla-schema-generator,2019-07-03T17:43:12Z,CONTRIBUTOR,True,Represent histograms as strings,Fixes #38,2019-06-28T19:02:29Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/39,33.0,1.0,32.0,2019-07-03T17:43:12Z,e95618db4e401d5a9b274a9cd3c4651f15753741,e95618db4e401d5a9b274a9cd3c4651f15753741,Represent histograms as strings,A library for creating full representations of Mozilla telemetry pings.,Python
6527,10153,15908,10153,jklukas,mozilla-schema-generator,2019-07-16T18:16:49Z,CONTRIBUTOR,True,Snake case BQ table and field names,"Relies on https://github.com/mozilla/jsonschema-transpiler/pull/79

Closes #41",2019-07-16T18:18:11Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/46,7.0,5.0,2.0,2019-07-16T18:16:49Z,478c1592e53355976b20087052f214e10ad812ae,478c1592e53355976b20087052f214e10ad812ae,"Snake case BQ table and field names

Relies on https://github.com/mozilla/jsonschema-transpiler/pull/79",A library for creating full representations of Mozilla telemetry pings.,Python
6528,10152,15907,10152,jklukas,mozilla-schema-generator,2019-07-16T19:16:24Z,CONTRIBUTOR,True,Snake case BQ table and field names,"Relies on https://github.com/mozilla/jsonschema-transpiler/pull/79

Closes #41",2019-07-16T18:18:11Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/46,2.0,1.0,1.0,2019-07-16T19:16:24Z,71ff704b388532ce0ce6afe03cf21b2b8d1b4abe,71ff704b388532ce0ce6afe03cf21b2b8d1b4abe,Skip CI when pushing to test branch of m-p-s,A library for creating full representations of Mozilla telemetry pings.,Python
6529,10154,15909,10154,jklukas,mozilla-schema-generator,2019-07-16T19:45:39Z,CONTRIBUTOR,True,Snake case BQ table and field names,"Relies on https://github.com/mozilla/jsonschema-transpiler/pull/79

Closes #41",2019-07-16T18:18:11Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/46,5.0,3.0,2.0,2019-07-16T19:45:39Z,257cfa02387a90f7716fd11dba104db50d61ce34,257cfa02387a90f7716fd11dba104db50d61ce34,Use hyphen rather than underscore when converting untrustedModules,A library for creating full representations of Mozilla telemetry pings.,Python
6530,10146,15901,10146,jklukas,mozilla-schema-generator,2019-08-19T17:04:02Z,CONTRIBUTOR,True,Ignore camelCase docTypes,Companion to https://github.com/mozilla-services/mozilla-pipeline-schemas/pull/391,2019-08-19T18:35:02Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/64,9.0,5.0,4.0,2019-08-19T17:04:02Z,50437312dc53fea4c3b428de0f980aa506745d04,50437312dc53fea4c3b428de0f980aa506745d04,Ignore camelCase docTypes,A library for creating full representations of Mozilla telemetry pings.,Python
6531,10147,15902,10147,jklukas,mozilla-schema-generator,2019-08-19T18:50:24Z,CONTRIBUTOR,True,Ignore camelCase docTypes,Companion to https://github.com/mozilla-services/mozilla-pipeline-schemas/pull/391,2019-08-19T18:35:02Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/64,7.0,2.0,5.0,2019-08-19T18:50:24Z,14c5948a03a542e79cf7e7e4ad639382265e9100,14c5948a03a542e79cf7e7e4ad639382265e9100,Add camelCase docTypes to the disallow list,A library for creating full representations of Mozilla telemetry pings.,Python
6532,10135,15890,10135,jklukas,mozilla-schema-generator,2019-12-12T21:23:51Z,CONTRIBUTOR,True,Bug 1601270 Transform snake_case ping names to kebab-case,See the [diff of test-generated-schemas before and after this change](https://github.com/mozilla-services/mozilla-pipeline-schemas/compare/b3cd120f388dcc3392684ba8da1e887a9ea88254...3db4703101b7a2c05cee7c6d6da461d3f5d7771c?expand=1).,2019-12-12T21:37:19Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/83,3.0,3.0,0.0,2019-12-12T21:23:51Z,6ffdc59d72f66e3b7f07d57bac33b8aee21d53a4,6ffdc59d72f66e3b7f07d57bac33b8aee21d53a4,Bug 1601270 Transform snake_case ping names to kebab-case,A library for creating full representations of Mozilla telemetry pings.,Python
6533,10133,15888,10133,jklukas,mozilla-schema-generator,2020-08-26T13:50:38Z,CONTRIBUTOR,True,Exclude metadata/metaschema,"This new metadata schema is introduced in
https://github.com/mozilla-services/mozilla-pipeline-schemas/pull/579
and should not have a BQ schema generated.",2020-08-26T13:52:40Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/137,1.0,1.0,0.0,2020-08-26T13:50:38Z,75731b14ebf5024391ba8074fea72b6d115617d9,75731b14ebf5024391ba8074fea72b6d115617d9,"Exclude metadata/metaschema

This new metadata schema is introduced in
https://github.com/mozilla-services/mozilla-pipeline-schemas/pull/579
and should not have a BQ schema generated.",A library for creating full representations of Mozilla telemetry pings.,Python
6534,10132,15887,10132,jklukas,mozilla-schema-generator,2020-08-26T17:23:23Z,CONTRIBUTOR,True,Accumulate http response as bytestring,"After https://github.com/mozilla-services/mozilla-pipeline-schemas/pull/579
was merged, schema generation was raising an error when processing the
heartbeat schema.

I believe what happened is that one of our 1024 byte chunks happened to land
within a multibyte character. We were decoding each chunk to text, which wasn't
tolerant to the possibility of a chunk ending within a multibyte character.

With this change, I was able to successfully run on the current mps content.",2020-08-26T17:28:41Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/138,12.0,8.0,4.0,2020-08-26T17:23:23Z,8c7dc04139c89a714f8240d1662e734f9620f0ac,8c7dc04139c89a714f8240d1662e734f9620f0ac,"Accumulate http response as bytestring

After https://github.com/mozilla-services/mozilla-pipeline-schemas/pull/579
was merged, schema generation was raising an error when processing the
heartbeat schema.

I believe what happened is that one of our 1024 byte chunks happened to land
within a multibyte character. We were decoding each chunk to text, which wasn't
tolerant to the possibility of a chunk ending within a multibyte character.

With this change, I was able to successfully run on the current mps content.",A library for creating full representations of Mozilla telemetry pings.,Python
